geoid,Centx,Centy
481130078192,-96.762957,32.868241
481130078202,-96.756592,32.869501
481130078222,-96.766188,32.887141
481130078231,-96.76691,32.892067
481130078255,-96.727255,32.893332
481130078271,-96.728085,32.890506
481130078114,-96.725837,32.898062
481130078183,-96.760732,32.869571
481130078201,-96.747237,32.867343
481130078221,-96.768127,32.86976
481130078252,-96.73484,32.889994
481130078261,-96.73432,32.871615
481130078121,-96.745303,32.89752
481130078153,-96.755464,32.877157
481130078184,-96.758577,32.868517
481130078203,-96.752252,32.867761
481130078212,-96.756531,32.873271
481130078254,-96.738988,32.889845
481130078182,-96.751876,32.865161
481130078232,-96.760514,32.887712
481130078233,-96.763847,32.888922
481130078273,-96.731787,32.884426
481130078091,-96.747789,32.859143
481130078092,-96.73631,32.857977
481130078122,-96.743896,32.886392
481130078211,-96.755305,32.872404
481130078242,-96.737875,32.874723
481130078253,-96.729957,32.89218
481130078113,-96.722625,32.896904
481130078191,-96.759074,32.86524
481130078213,-96.753424,32.871719
481130078272,-96.732668,32.882648
481130078052,-96.759777,32.898203
481130078152,-96.757902,32.877867
481130078181,-96.756131,32.866364
481130078241,-96.738056,32.883019
481130078151,-96.758611,32.874164
481130078271,-96.728085,32.890506
481130078261,-96.73432,32.871615
481130078273,-96.731787,32.884426
481130130044,-96.725392,32.866294
481130130073,-96.688902,32.867438
481130130102,-96.689459,32.871593
481130129001,-96.703397,32.860059
481130130054,-96.707169,32.868062
481130130093,-96.713346,32.882652
481130130103,-96.681115,32.867417
481130078092,-96.73631,32.857977
481130078113,-96.722625,32.896904
481130078272,-96.732668,32.882648
481130128003,-96.695869,32.859614
481130130042,-96.721572,32.872874
481130130071,-96.696841,32.874754
481130130041,-96.713314,32.875038
481130129002,-96.710717,32.861214
481130130082,-96.72367,32.882035
481130130081,-96.721469,32.890292
481130130111,-96.689631,32.87659
481130130092,-96.712713,32.889533
481130130113,-96.692794,32.876834
481130128004,-96.687336,32.859821
481130130051,-96.704697,32.882847
481130130101,-96.680586,32.869673
481130130043,-96.726887,32.87506
481130130045,-96.714448,32.868544
481130130052,-96.704497,32.875151
481130130053,-96.702956,32.869038
481130130072,-96.696431,32.867607
481130130091,-96.71524,32.895742
481130130112,-96.687228,32.874103
481130079024,-96.749422,32.854093
481130079025,-96.748995,32.848008
481130002012,-96.7575,32.832555
481130024001,-96.758544,32.797507
481130001001,-96.734174,32.818038
481130001003,-96.744022,32.818285
481130011012,-96.765868,32.820186
481130012023,-96.736472,32.806993
481130013023,-96.763514,32.800191
481130014003,-96.761341,32.809663
481130011023,-96.757983,32.81528
481130012021,-96.730886,32.805873
481130013012,-96.752964,32.806181
481130080004,-96.727582,32.83633
481130014001,-96.762847,32.806051
481130080001,-96.73826,32.828688
481130079032,-96.757233,32.846945
481130002011,-96.757147,32.840007
481130012022,-96.74059,32.806013
481130012031,-96.743049,32.803148
481130013011,-96.753415,32.803582
481130014002,-96.76904,32.804185
481130015021,-96.769584,32.797232
481130011013,-96.765,32.813346
481130013013,-96.756688,32.805981
481130013021,-96.759469,32.800682
481130078092,-96.73631,32.857977
481130080003,-96.747408,32.834415
481130080005,-96.744512,32.823561
481130014004,-96.757597,32.808583
481130079021,-96.736615,32.85006
481130080006,-96.748923,32.827261
481130011021,-96.757076,32.821511
481130001002,-96.738514,32.812404
481130002013,-96.75677,32.826321
481130002021,-96.765662,32.825005
481130079023,-96.746853,32.842052
481130079031,-96.755648,32.853654
481130011022,-96.757403,32.818641
481130013022,-96.766291,32.801724
481130015043,-96.772705,32.799789
481130079022,-96.744619,32.851328
481130080002,-96.739486,32.838083
481130079024,-96.749422,32.854093
481130079121,-96.765421,32.862911
481130002012,-96.7575,32.832555
481130002023,-96.765614,32.829628
481130003001,-96.772429,32.829631
481130009002,-96.781455,32.814061
481130008003,-96.782415,32.808294
481130011012,-96.765868,32.820186
481130010011,-96.774094,32.820724
481130011011,-96.768205,32.810955
481130014003,-96.761341,32.809663
481130011023,-96.757983,32.81528
481130079131,-96.76278,32.848824
481130015041,-96.769773,32.805988
481130079032,-96.757233,32.846945
481130002011,-96.757147,32.840007
481130003002,-96.776407,32.83306
481130014002,-96.76904,32.804185
481130010021,-96.778795,32.818644
481130011013,-96.765,32.813346
481130079111,-96.76158,32.862745
481130079133,-96.765983,32.850008
481130015031,-96.773151,32.806194
481130079091,-96.762347,32.852304
481130079112,-96.757643,32.860011
481130079132,-96.766043,32.847401
481130009001,-96.784829,32.816961
481130009003,-96.776381,32.811379
481130010022,-96.77426,32.814772
481130002013,-96.75677,32.826321
481130002021,-96.765662,32.825005
481130002022,-96.765075,32.836425
481130003003,-96.779031,32.826506
481130078191,-96.759074,32.86524
481130079031,-96.755648,32.853654
481130079102,-96.76322,32.855032
481130079142,-96.764336,32.845119
481130009004,-96.778632,32.809923
481130010012,-96.779985,32.822298
481130079092,-96.766047,32.854248
481130079101,-96.761113,32.856708
481130079122,-96.766461,32.859009
481130079141,-96.763958,32.843078
481130082002,-96.695633,32.842631
481130082003,-96.698054,32.834833
481130012021,-96.730886,32.805873
481130081004b,-96.717527,32.812346
481130082004,-96.691231,32.838875
481130081002,-96.701209,32.826861
481130081005,-96.708872,32.823411
481130081004a,-96.722987,32.808535
481130128005,-96.678986,32.856181
481130128006,-96.678654,32.861056
481130129005,-96.708534,32.855042
481130128001,-96.690406,32.853467
481130129001,-96.703397,32.860059
481130130103,-96.681115,32.867417
481130081003,-96.708413,32.81852
481130128003,-96.695869,32.859614
481130129003,-96.706679,32.847401
481130081001,-96.70999,32.830099
481130082001,-96.699539,32.846349
481130128002,-96.691759,32.847336
481130129002,-96.710717,32.861214
481130127011,-96.672599,32.853986
481130127012,-96.680501,32.846688
481130128004,-96.687336,32.859821
481130129004,-96.712467,32.84593
481130130101,-96.680586,32.869673
481130122091,-96.69909,32.816154
481130084003,-96.71531,32.770595
481130084005,-96.705285,32.775659
481130090005,-96.676094,32.76815
481130091014,-96.687659,32.753169
481130121003,-96.654557,32.765308
481130122062,-96.703033,32.78829
481130122073,-96.693436,32.782926
481130085001,-96.69061,32.774536
481130090003,-96.67811,32.752331
481130091013,-96.695595,32.757046
481130090001,-96.670507,32.758318
481130091012,-96.696728,32.752999
481130091041,-96.695854,32.744968
481130120001,-96.660575,32.753973
481130084002,-96.712089,32.777911
481130084004,-96.703123,32.768108
481130176052,-96.644669,32.757983
481130084007,-96.720472,32.783172
481130085003,-96.695677,32.767666
481130085004,-96.687726,32.767282
481130090002,-96.677177,32.758872
481130090004,-96.667416,32.751645
481130084001,-96.721157,32.772064
481130085002,-96.696934,32.775404
481130091011,-96.692347,32.760063
481130120003,-96.652519,32.753778
481130084006,-96.709581,32.766871
481130120004,-96.652388,32.752341
481130122063,-96.705977,32.782292
481130122061,-96.712199,32.788453
481130122072,-96.69254,32.78899
481130121002,-96.661779,32.77162
481130120002,-96.66311,32.759864
481130121001,-96.662471,32.76604
481130122071,-96.682542,32.790615
481130176051,-96.644768,32.752539
481130088026,-96.779167,32.711044
481130054002,-96.812672,32.721697
481130059012,-96.811959,32.69567
481130059016,-96.802006,32.686514
481130087041,-96.777161,32.699013
481130087043,-96.787038,32.690317
481130088011,-96.785952,32.721328
481130049001,-96.808465,32.73179
481130054001,-96.818154,32.731014
481130054004,-96.819576,32.722731
481130054003,-96.818372,32.727493
481130057002,-96.805521,32.7076
481130055002,-96.796747,32.726021
481130057004,-96.801458,32.699103
481130059015,-96.810448,32.687367
481130057003,-96.796207,32.704017
481130059013,-96.806388,32.695626
481130059021,-96.818522,32.704516
481130086041,-96.771346,32.713615
481130087012,-96.762346,32.706248
481130088022,-96.788968,32.712381
481130088025,-96.786173,32.707722
481130087031,-96.776592,32.705648
481130087052,-96.782266,32.685583
481130112003,-96.810268,32.679275
481130056004,-96.818558,32.715125
481130059022,-96.818521,32.693842
481130049002,-96.803986,32.741567
481130049003,-96.80591,32.737395
481130056001,-96.821463,32.718331
481130087032,-96.785659,32.701652
481130087051,-96.774627,32.689002
481130088023,-96.795467,32.709662
481130049004,-96.802581,32.731579
481130089003,-96.795127,32.735469
481130055004,-96.805682,32.717392
481130057001,-96.796243,32.690237
